Goal,Optimal_Actions,LLM_Optimal_Actions,Vital_Action_Predicates,Vital_Objects,Time_Limit_Exceeded,Error,Tree_Expanded_Number,Traversed_Number,Exploration_Number,Planning_Time_Total,Current_Cost,Action_Number,Recorded_Action_List,Tick_Time
IsOn_apple_kitchencabinet & IsNear_self_faucet & IsIn_plate_garbagecan,"['Walk_apple', 'LeftGrab_apple', 'Walk_plate', 'RightGrab_plate', 'Walk_kitchencabinet', 'LeftPut_apple_kitchencabinet', 'Walk_garbagecan', 'RightPutIn_plate_garbagecan', 'Walk_faucet']","['Walk_apple', 'RightGrab_apple', 'Walk_kitchencabinet', 'RightPut_apple_kitchencabinet', 'Walk_faucet', 'RightGrab_faucet', 'Walk_plate', 'RightPutIn_plate_garbagecan']","['Walk', 'LeftGrab', 'RightGrab', 'LeftPut', 'RightPutIn']","['apple', 'plate', 'kitchencabinet', 'garbagecan', 'faucet']",False,False,128,128,9,0.00511622428894043,101,9,"['Walk(plate)', 'RightGrab(plate)', 'Walk(garbagecan)', 'RightPutIn(plate,garbagecan)', 'Walk(apple)', 'RightGrab(apple)', 'Walk(kitchencabinet)', 'RightPut(apple,kitchencabinet)', 'Walk(faucet)']",811
IsNear_self_kitchentable & IsClean_apple,"['Walk_apple', 'RightGrab_apple', 'Walk_faucet', 'SwitchOn_faucet', 'Wash_apple', 'Walk_kitchentable']","['Walk_kitchentable', 'RightGrab_apple', 'Walk_faucet', 'SwitchOn_faucet', 'Wash_apple']","['Walk', 'RightGrab', 'SwitchOn', 'Wash']","['apple', 'faucet', 'kitchentable']",False,False,110,110,20,0.016533613204956055,82,7,"['Walk(faucet)', 'SwitchOn(faucet)', 'Walk(apple)', 'RightGrab(apple)', 'Walk(faucet)', 'Wash(apple)', 'Walk(kitchentable)']",760
IsOn_apple_kitchencabinet & IsOpen_window & IsPlugged_tv,"['Walk_apple', 'RightGrab_apple', 'Walk_tv', 'PlugIn_tv', 'Walk_window', 'Open_window', 'Walk_kitchencabinet', 'RightPut_apple_kitchencabinet']","['Walk_apple', 'RightGrab_apple', 'Walk_kitchencabinet', 'RightPut_apple_kitchencabinet', 'Walk_window', 'Open_window', 'Walk_tv', 'PlugIn_tv']","['Walk', 'RightGrab', 'PlugIn', 'Open', 'RightPut']","['apple', 'tv', 'window', 'kitchencabinet']",False,False,191,191,8,0.008254766464233398,93,8,"['Walk(apple)', 'LeftGrab(apple)', 'Walk(kitchencabinet)', 'LeftPut(apple,kitchencabinet)', 'Walk(tv)', 'PlugIn(tv)', 'Walk(window)', 'Open(window)']",707
IsOn_plate_kitchentable & IsNear_self_kitchentable,"['Walk_plate', 'LeftGrab_plate', 'Walk_kitchentable', 'LeftPut_plate_kitchentable']","['Walk_kitchentable', 'RightGrab_plate', 'RightPut_plate_kitchentable']","['Walk', 'LeftGrab', 'LeftPut']","['plate', 'kitchentable']",False,False,36,36,4,0.0016560554504394531,41,4,"['Walk(plate)', 'RightGrab(plate)', 'Walk(kitchentable)', 'RightPut(plate,kitchentable)']",113
IsSwitchedOn_candle & IsNear_self_fridge,"['Walk_candle', 'SwitchOn_candle', 'Walk_fridge']","['Walk_candle', 'SwitchOn_candle']","['Walk', 'SwitchOn']","['candle', 'fridge']",False,False,38,38,3,0.0018281936645507812,38,3,"['Walk(candle)', 'SwitchOn(candle)', 'Walk(fridge)']",202
IsOpen_microwave & IsSwitchedOn_tv & IsNear_self_candle,"['Walk_tv', 'PlugIn_tv', 'SwitchOn_tv', 'Walk_microwave', 'Open_microwave', 'Walk_candle']","['Walk_microwave', 'Open_microwave', 'Walk_tv', 'SwitchOn_tv', 'Walk_candle']","['Walk', 'PlugIn', 'SwitchOn', 'Open']","['tv', 'microwave', 'candle']",False,False,115,115,6,0.005959272384643555,64,6,"['Walk(tv)', 'PlugIn(tv)', 'SwitchOn(tv)', 'Walk(microwave)', 'Open(microwave)', 'Walk(candle)']",385
IsSwitchedOn_faucet & IsCut_apple,"['Walk_faucet', 'SwitchOn_faucet', 'Walk_apple', 'LeftGrab_apple', 'Walk_kitchenknife', 'RightGrab_kitchenknife', 'Cut_apple']","['Walk_faucet', 'SwitchOn_faucet', 'Walk_apple', 'RightGrab_apple', 'Walk_kitchenknife', 'RightGrab_kitchenknife', 'Cut_apple']","['Walk', 'SwitchOn', 'LeftGrab', 'RightGrab', 'Cut']","['faucet', 'apple', 'kitchenknife']",True,True,192,192,30,0.10185670852661133,0,0,[],629
IsClean_kitchenknife & IsOpen_microwave,"['Walk_kitchenknife', 'RightGrab_kitchenknife', 'Walk_microwave', 'Open_microwave', 'Walk_faucet', 'SwitchOn_faucet', 'Wash_kitchenknife']","['Walk_kitchenknife', 'RightGrab_kitchenknife', 'Walk_microwave', 'Open_microwave']","['Walk', 'RightGrab', 'Open', 'SwitchOn', 'Wash']","['kitchenknife', 'microwave', 'faucet']",False,False,380,380,15,0.02612471580505371,85,8,"['Walk(microwave)', 'Open(microwave)', 'Walk(faucet)', 'SwitchOn(faucet)', 'Walk(kitchenknife)', 'RightGrab(kitchenknife)', 'Walk(faucet)', 'Wash(kitchenknife)']",4383
IsClean_candle & IsOpen_kitchencabinet,"['Walk_rag', 'RightGrab_rag', 'Walk_kitchencabinet', 'Open_kitchencabinet', 'Walk_candle', 'Wipe_candle']","['Walk_candle', 'RightGrab_candle', 'Walk_kitchencabinet', 'Open_kitchencabinet']","['Walk', 'RightGrab', 'Open', 'Wipe']","['rag', 'kitchencabinet', 'candle']",False,False,193,193,8,0.009917974472045898,62,6,"['Walk(rag)', 'RightGrab(rag)', 'Walk(candle)', 'Wipe(candle)', 'Walk(kitchencabinet)', 'Open(kitchencabinet)']",874
IsSwitchedOn_candle & IsNear_self_kitchentable & IsSwitchedOn_faucet,"['Walk_faucet', 'SwitchOn_faucet', 'Walk_candle', 'SwitchOn_candle', 'Walk_kitchentable']","['Walk_candle', 'SwitchOn_candle', 'Walk_self', 'Walk_kitchentable', 'SwitchOn_faucet']","['Walk', 'SwitchOn']","['faucet', 'candle', 'kitchentable']",False,False,121,121,5,0.0050809383392333984,61,5,"['Walk(candle)', 'SwitchOn(candle)', 'Walk(faucet)', 'SwitchOn(faucet)', 'Walk(kitchentable)']",428
